,school_name,English,Math,Science
113,Lake Marie Elementary School,33%,12%,20%
114,Lakeland Elementary School,50%,43%,43%
115,Lakeside Middle School,61%,27%,30%
116,Lakeview Elementary School,43%,33%,20%
117,Lakewood High School,48%,12%,19%
118,Las Flores Home Education Independent Study Academy,48%,22%,24%
119,Laurel Elementary School,34%,26%,22%
120,Leal (Frank C.) Elementary School,89%,79%,78%
121,Lee Elementary School,42%,23%,26%
122,Leffingwell Elementary School,74%,65%,45%
123,Lewis Elementary School,44%,37%,23%
124,Lexington Junior High School,70%,51%,51%
125,Lincoln Elementary School,41%,33%,24%
126,Lindbergh Middle School,32%,13%,9%
127,Lindsey Academy,35%,13%,10%
128,Loma Vista Elementary School,26%,17%,28%
129,Longfellow Elementary School,56%,50%,48%
130,Loretta Lampton Elementary School,33%,29%,12%
131,Los Alamitos Elementary School,74%,70%,53%
132,Los Alamitos High School,82%,57%,52%
133,Los Alisos Middle School,40%,21%,21%
134,Los Altos Elementary School,29%,15%,10%
135,Los Angeles County Special Education School,4%,2%,5%
136,Los Cerritos Elementary School,74%,65%,60%
137,Lou Henry Hoover Elementary School,49%,26%,8%
138,Lowell Elementary School,67%,60%,49%
139,Lydia Jackson Elementary School,29%,15%,14%
140,Macarthur Elementary School,59%,53%,38%
141,Madison Elementary School,60%,49%,38%
142,Mann Elementary School,35%,29%,7%
143,Margaret Landell Elementary School,83%,79%,85%
144,Marshall Academy Of The Arts,65%,47%,34%
145,Mayfair High School,48%,19%,25%
146,McKinley Elementary School,36%,22%,18%
147,Meadow Green Elementary School,70%,50%,53%
148,Melbourne (Ella P.) Elementary School,34%,16%,12%
149,Mill Elementary School,54%,55%,35%
150,Millikan High School,55%,30%,26%
151,Muir K-8,45%,30%,18%
152,Mulberry Elementary School,50%,46%,35%
153,Murphy Ranch Elementary School,79%,71%,64%
154,Naples Elementary School,87%,79%,80%
155,Nettie L. Waite Middle School,25%,7%,10%
156,New River Elementary School,35%,18%,25%
157,Newcomb Academy,83%,72%,63%
158,Nixon (Patricia) Elementary School,75%,67%,67%
159,Norwalk High School,56%,18%,20%
160,Oak Middle School,80%,61%,59%
161,Ocean View Elementary School,73%,66%,48%
162,Odyssey Stem Academy,77%,14%,44%
163,Old River Elementary School,49%,35%,35%
164,Orange Grove Elementary School,37%,29%,17%
165,Orchard Dale Elementary School,51%,38%,30%
166,Oxford Academy,97%,94%,93%
167,Paddison Elementary School,47%,40%,33%
168,Palms Elementary School,45%,37%,39%
169,Phoenix Academy Residential Education Center,,<1%,
170,Pioneer High School,57%,26%,20%
171,Polytechnic High School,48%,28%,28%
172,Powell Academy For Success,34%,22%,16%
173,Price Elementary School,54%,53%,33%
174,Prisk Elementary School,80%,74%,77%
175,Ramona Elementary School,35%,27%,12%
176,Rancho Dominguez Preparatory,41%,23%,12%
177,Rancho Santa Gertrudes Elementary School,47%,37%,29%
178,Rancho-Starbuck Intermediate School,56%,31%,34%
179,Reid High School,4%,<1%,<1%
180,Renaissance High School For The Arts,33%,6%,
181,Richard D. Browning High,42%,6%,7%
182,Richard Henry Lee Elementary School,88%,84%,77%
183,Richard L. Graves Middle School,31%,13%,10%
184,Riley Elementary School,47%,38%,26%
185,Rio Hondo Elementary School,48%,36%,21%
186,Rio San Gabriel Elementary School,50%,40%,29%
187,Robinson Academy,38%,22%,17%
188,Rogers Middle School,71%,53%,44%
189,Roosevelt Elementary School,28%,25%,20%
190,Rossmoor Elementary School,81%,83%,77%
191,Santa Fe High School,69%,37%,30%
192,Scott Avenue Elementary School,49%,44%,31%
193,Sharon Christa Mcauliffe Middle School,72%,57%,56%
194,Sierra Vista High (Alternative) School,36%,6%,15%
195,Somerset Continuation High School,9%,<1%,<1%
196,Stanford Middle School,60%,48%,35%
197,Stephen Foster Elementary School,57%,44%,43%
198,Stephens Middle School,26%,15%,15%
199,Stevenson Elementary School,35%,21%,18%
200,Stowers(Cecil B.) Elementary School,71%,65%,61%
201,Studebaker Elementary School,56%,41%,43%
202,Sussman Middle School,41%,23%,28%
203,Tetzlaff (Martin B.) Middle School,65%,41%,49%
204,The Education Corps,15%,<1%,
205,Thomas B. Moffitt Elementary School,26%,16%,11%
206,Thomas Jefferson Elementary School,36%,28%,19%
207,Tincher Preparatory School,68%,57%,37%
208,Tracy (Wilbur) High (Continuation) School,11%,1%,5%
209,Twain Elementary School,51%,43%,45%
210,Unsworth Elementary School,62%,50%,28%
211,Wallen L. Andrews Elementary School,49%,36%,34%
212,Walter F. Dexter Middle School,33%,15%,12%
213,Ward Elementary School,34%,21%,20%
214,Warren High School,58%,22%,19%
215,Washington Elementary School,26%,12%,16%
216,Washington Middle School,29%,13%,5%
217,Webster Elementary School,34%,24%,14%
218,West Middle School,47%,29%,27%
219,West Whittier Elementary School,40%,34%,23%
220,Whitney High School,99%,98%,93%
221,Whittier Area Community Day School,12%,<1%,9%
222,Whittier Elementary School,17%,15%,13%
223,Whittier High School,52%,33%,22%
224,Willard Elementary School,28%,25%,21%
225,William W. Orr Elementary School,58%,39%,34%
226,Williams Elementary School,44%,50%,
227,Willow Elementary School,43%,21%,12%
228,Wilson High School,58%,19%,13%
229,Wittmann (Helen) Elementary School,87%,74%,74%
230,Woodruff Academy,14%,7%,
